sub county,Totals,At School/ Learning Institution,Left School/ Learning Institution After Completion,Left School/ Learning Institution Before Completion,Never Been to School/ Learning Institution
KENYA,"43,739,906",40.7,26.4,15.7,16.3
NAIROBI CITY,"4,010,447",33.9,47.9,12.6,4.7
DAGORETTI,"398,369",33.6,46.4,15.5,3.7
EMBAKASI,"904,247",33,52,10.6,3.5
KAMUKUNJI,"242,507",31.4,36.7,13.5,17.3
KASARANI,"710,889",34.6,49.4,11.6,3.4
KIBRA,"169,509",38.2,40.9,16,3.9
LANG'ATA,"180,488",35.4,47.6,11.4,4.5
MAKADARA,"176,283",31.8,52.6,11.7,3.3
MATHARE,"188,625",32.4,41.1,19,6.4
NJIRU,"573,474",35.9,46.9,13,3.5
STAREHE,"182,149",35.1,45.4,11.4,6.9
WESTLANDS,"283,907",31.1,52.8,11.7,3.4